Día ;Muestra ;Tiempo ;Turbidez 
5;1;0.50;45.18
5;2;1.00;119.90
5;3;1.50;187.20
5;4;2.00;136.70
5;5;2.50;339.40
5;6;3.00;559.80
5;7;3.50;336.70
5;8;4.00;301.30
5;9;4.50;258.60
5;10;5.00;187.10
5;11;5.50;161.10
5;12;6.00;122.40
5;13;6.50;96.35
5;14;7.00;76.28
5;15;7.50;69.27
5;16;8.00;62.97
5;17;8.50;58.77
5;18;9.00;45.16
5;19;9.50;37.45
5;20;10.00;31.42
5;21;10.50;27.38
5;22;11.00;24.13
5;23;11.50;21.60
5;24;12.00;19.21
5;25;12.50;17.23
5;26;13.00;16.17
5;27;13.50;15.14
5;28;14.00;14.36
5;29;14.50;14.06
5;30;15.00;13.04
5;31;15.50;12.97
5;32;16.00;12.27
5;33;16.50;10.69
5;34;17.00;10.97
5;35;17.50;11.08
5;36;18.00;11.42
5;37;18.50;9.90
5;38;19.00;9.60
5;39;19.50;12.01
5;40;20.00;8.33
5;41;20.50;0.00
5;42;21.00;0.00
5;43;21.50;0.00
5;44;22.00;0.00
5;45;22.50;0.00
5;46;23.00;0.00
5;47;23.50;11.12
5;48;24.00;2.91
5;49;24.50;2.39
5;50;25.00;0.00
5;51;25.50;0.00
5;52;26.00;0.00
