Día;Muestra;Tiempo ;Turbidez 
1;1;0.5;25.32
1;2;1.0;34.79
1;3;1.5;119.9
1;4;2.0;86.33
1;5;2.5;237.9
1;6;3.0;288.9
1;7;3.5;247.6
1;8;4.0;211.1
1;9;4.5;175.2
1;10;5.0;130.3
1;11;5.5;108.7
1;12;6.0;86.43
1;13;6.5;66.07
1;14;7.0;57.77
1;15;7.5;50.81
1;16;8.0;42.73
1;17;8.5;35.28
1;18;9.0;30.1
1;19;9.5;25.86
1;20;10.0;21.75
1;21;10.5;18.3
1;22;11.0;16.15
1;23;11.5;11.42
1;24;12.0;12.91
1;25;12.5;9.33
1;26;13.0;11.16
1;27;13.5;9.1
1;28;14.0;11.59
1;29;14.5;9.89
1;30;15.0;9.13
1;31;15.5;20.73
1;32;16.0;13.81
1;33;16.5;12
1;34;17.0;1.04
1;35;17.5;8.26
1;36;18.0;7.97
