Dia;Muestra;Tiempo ;Turbidez 
2;1;0.5;338.3
2;2;1;351.6
2;3;1.5;447.1
2;4;2;519.4
2;5;2.5;554.7
2;6;3;557.1
2;7;3.5;504.4
2;8;4;493.2
2;9;4.5;357.1
2;10;5;310.4
2;11;5.5;236.6
2;12;6;167.81
2;13;6.5;146.8
2;14;7;110.8
2;15;7.5;88.63
2;16;8;70.56
2;17;8.5;53.64
2;18;9;41.66
2;19;9.5;33.45
2;20;10;27.05
2;21;10.5;25.06
2;22;11;20.16
2;23;11.5;13.84
2;24;12;11.38
2;25;12.5;12.56
2;26;13;10.49
2;27;13.5;10.58
2;28;14;10.16
2;29;14.5;8.38
2;30;15;8.51
2;31;15.5;0.92
2;32;16;0.34
2;33;16.5;0.32
2;34;17;0.02
2;35;17.5;0.42
2;36;18;0.05
