Dia;Muestra ;Tiempo ;Turbidez 
3;1;0.5;169.3
3;2;1;251.8
3;3;1.5;360.6
3;4;2;389.9
3;5;2.5;402.2
3;6;3;341.6
3;7;3.5;128.4
3;8;4;136.6
3;9;4.5;69.44
3;10;5;61.7
3;11;5.5;59.7
3;12;6;49.51
3;13;6.5;45.4
3;14;7;43.2
3;15;7.5;31.7
3;16;8;26.14
3;17;8.5;24.18
3;18;9;21.3
3;19;9.5;26.08
3;20;10;24.1
3;21;10.5;21.19
3;22;11;22.14
3;23;11.5;19.21
3;24;12;21.14
3;25;12.5;19.36
3;26;13;20.18
3;27;13.5;19.06
3;28;14;18.12
3;29;14.5;16.43
3;30;15;19.02
3;31;15.5;16.36
3;32;16;14.02
3;33;16.5;10.06
3;34;17;10.29
3;35;17.5;8.6
3;36;18;8.88
3;37;18.5;6.21
3;38;19;5.29
3;39;19.5;4.49
3;40;20;2.21
3;41;20.5;0.26
3;42;21;0.31
3;43;21.5;0
3;44;22;0.06
3;45;22.5;0.1
3;46;23;0
3;47;23.5;86.18
3;48;24;10.11
3;49;24.5;2.26
3;50;25;0.06
3;51;25.5;0.04
3;52;26;0.09
