Dia;Muestra ;Tiempo ;Turbidez 
4;1;0.5;86.76
4;2;1;58.04
4;3;1.5;97.69
4;4;2;224.6
4;5;2.5;219.5
4;6;3;421.7
4;7;3.5;317.9
4;8;4;267
4;9;4.5;241.3
4;10;5;159.5
4;11;5.5;133.1
4;12;6;114
4;13;6.5;101.8
4;14;7;77.86
4;15;7.5;68.4
4;16;8;63.06
4;17;8.5;49.24
4;18;9;41.04
4;19;9.5;37.27
4;20;10;31.97
4;21;10.5;28.01
4;22;11;27.86
4;23;11.5;21.42
4;24;12;20.5
4;25;12.5;16.72
4;26;13;17.83
4;27;13.5;15.4
4;28;14;14.37
4;29;14.5;13.03
4;30;15;12.19
4;31;15.5;11.33
4;32;16;11.87
4;33;16.5;10.43
4;34;17;10.7
4;35;17.5;9.16
4;36;18;6.89
4;37;18.5;7.45
4;38;19;4.62
4;39;19.5;0.32
4;40;20;4.9
4;41;20.5;0
4;42;21;0
4;43;21.5;0
4;44;22;0
4;45;22.5;0
4;46;23;0
4;47;23.5;7.06
4;48;24;0.14
4;49;24.5;0
4;50;25;0
4;51;25.5;0
4;52;26;0
